jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0801,0.1432,0.1518,0.2795,0.2835,0.3796,0.3459,0.342,0.082,0.2294,0.0199,0.0191,0.0679,0.0516,0.0638,0.0,0.0431,0.0091,0.0089,0.0435,0.0957,0.005,0.0007,0.0,0.0,0.01,0.009,0
0.0801,0.1435,0.152,0.2796,0.2836,0.3791,0.3453,0.3415,0.0823,0.2296,0.02,0.0191,0.0681,0.0516,0.0639,0.0,0.0431,0.0092,0.0089,0.0436,0.0955,0.0051,0.0006,0.0,0.0,0.01,0.009,0
0.0801,0.1435,0.152,0.2798,0.284,0.3788,0.3456,0.3419,0.0825,0.2299,0.02,0.0191,0.0682,0.0516,0.064,0.0,0.0431,0.0092,0.0089,0.0439,0.0955,0.0053,0.0006,0.0,0.0,0.01,0.009,0
0.0799,0.1435,0.1519,0.2795,0.2839,0.3789,0.3452,0.3408,0.0826,0.23,0.02,0.0191,0.0682,0.0516,0.0641,0.0,0.0432,0.0093,0.009,0.0442,0.0955,0.0056,0.0005,0.0,0.0,0.0101,0.009,0
0.0813,0.1457,0.1543,0.2799,0.2847,0.3769,0.275,0.2749,0.0826,0.2299,0.0203,0.0193,0.0684,0.052,0.0644,0.0,0.0429,0.0095,0.0091,0.0444,0.0964,0.0055,0.0005,0.0,0.0,0.0102,0.0091,0
0.1291,0.1481,0.156,0.2967,0.3243,0.2697,0.3024,0.3139,0.088,0.2295,0.0207,0.0197,0.0794,0.0524,0.075,0.0,0.0428,0.0099,0.0095,0.0456,0.1409,0.0055,0.0004,0.0,0.0,0.0104,0.0094,0
0.1415,0.1551,0.1637,0.3039,0.3352,0.1936,0.2565,0.265,0.0935,0.2246,0.0211,0.0201,0.0961,0.0523,0.078,0.0,0.0431,0.012,0.0111,0.0464,0.182,0.0056,0.0004,0.0,0.0,0.0108,0.0098,0
0.145,0.223,0.233,0.2651,0.2768,0.1669,0.0824,0.0414,0.0852,0.2464,0.0497,0.0379,0.1362,0.0524,0.1323,0.0,0.0437,0.0184,0.0144,0.0471,0.1522,0.0099,0.0003,0.0,0.0,0.0148,0.0124,0
0.1082,0.1943,0.2022,0.2111,0.2141,0.2011,0.0626,0.0318,0.0764,0.2561,0.0559,0.0423,0.1288,0.0552,0.0942,0.0,0.0439,0.027,0.0217,0.0682,0.1772,0.0124,0.0003,0.0,0.0,0.0231,0.0184,0
0.0812,0.1379,0.1448,0.2633,0.2716,0.3587,0.2858,0.2848,0.0737,0.2522,0.0341,0.0357,0.0724,0.0558,0.0797,0.0,0.0442,0.0253,0.0222,0.0621,0.1032,0.0131,0.0003,0.0,0.0,0.0236,0.0197,0
0.0721,0.1266,0.134,0.2729,0.2817,0.3884,0.3387,0.3421,0.0727,0.2444,0.0289,0.0316,0.0585,0.0558,0.0726,0.0,0.0445,0.0231,0.0214,0.0576,0.0859,0.0134,0.0003,0.0,0.0,0.0225,0.0196,0
0.0677,0.127,0.1354,0.2774,0.2864,0.3958,0.3375,0.3338,0.0728,0.2403,0.0259,0.0294,0.0538,0.0557,0.0691,0.0,0.0448,0.0212,0.0203,0.0541,0.0794,0.0132,0.0002,0.0,0.0,0.0213,0.0192,0
0.0659,0.128,0.1365,0.2795,0.2886,0.3971,0.3441,0.3395,0.0742,0.2361,0.0242,0.0277,0.0526,0.0554,0.0671,0.0,0.045,0.0198,0.0192,0.052,0.0781,0.0131,0.0002,0.0,0.0,0.0203,0.0187,0
0.0671,0.1284,0.1369,0.2803,0.2894,0.3961,0.3477,0.3425,0.077,0.2342,0.0232,0.0266,0.0532,0.0552,0.0661,0.0,0.045,0.0188,0.0184,0.0508,0.0787,0.0129,0.0002,0.0,0.0,0.0194,0.018,0
0.0678,0.1284,0.1368,0.2791,0.2877,0.4016,0.3496,0.3442,0.0801,0.2331,0.0225,0.0257,0.0535,0.0551,0.0656,0.0,0.045,0.018,0.0177,0.05,0.0788,0.0128,0.0002,0.0,0.0,0.0187,0.0174,0
0.0683,0.1285,0.1368,0.2787,0.287,0.4038,0.3506,0.3451,0.0814,0.2328,0.0221,0.0251,0.054,0.0552,0.0653,0.0,0.0449,0.0173,0.017,0.0495,0.0791,0.0127,0.0002,0.0,0.0,0.0181,0.0169,0
0.0692,0.1288,0.137,0.2784,0.2863,0.4046,0.3511,0.3456,0.0824,0.2328,0.0219,0.0246,0.0552,0.0554,0.0652,0.0,0.0448,0.0167,0.0165,0.0494,0.0796,0.0125,0.0001,0.0,0.0,0.0176,0.0164,0
0.0715,0.1293,0.1375,0.2778,0.2851,0.4052,0.3516,0.346,0.0839,0.2337,0.0219,0.0242,0.0561,0.0559,0.0664,0.0,0.0447,0.0163,0.016,0.0492,0.0801,0.0124,0.0001,0.0,0.0,0.0172,0.016,0
0.0744,0.1299,0.1381,0.2737,0.2801,0.4058,0.3514,0.3456,0.0855,0.235,0.0219,0.024,0.0568,0.0569,0.0681,0.0,0.0444,0.0159,0.0156,0.049,0.0807,0.0123,0.0001,0.0,0.0,0.0169,0.0158,0
0.0754,0.1304,0.1386,0.2722,0.2782,0.4048,0.3512,0.3418,0.0862,0.2358,0.0221,0.0239,0.0574,0.0577,0.0691,0.0,0.0442,0.0156,0.0152,0.049,0.0814,0.0125,0.0001,0.0,0.0,0.0167,0.0155,0
0.0757,0.1308,0.1391,0.2706,0.2752,0.4047,0.3509,0.337,0.0864,0.2366,0.0222,0.0238,0.0578,0.0583,0.0698,0.0,0.044,0.0153,0.0149,0.049,0.082,0.0128,0.0001,0.0,0.0,0.0166,0.0154,0
0.0754,0.1312,0.1395,0.2681,0.2697,0.406,0.3432,0.3273,0.086,0.2371,0.0224,0.0237,0.058,0.0589,0.0703,0.0,0.0438,0.015,0.0146,0.0488,0.0822,0.0128,0.0001,0.0,0.0,0.0164,0.0152,0
0.0751,0.1316,0.14,0.2662,0.2672,0.4065,0.3389,0.3173,0.0856,0.2375,0.0227,0.0237,0.058,0.0597,0.071,0.0,0.0436,0.0147,0.0143,0.0485,0.0824,0.0131,0.0001,0.0,0.0,0.0163,0.0151,0
0.0745,0.1318,0.1404,0.2613,0.2623,0.4206,0.3371,0.3139,0.0851,0.2378,0.0229,0.0237,0.0579,0.0603,0.0713,0.0,0.0435,0.0144,0.014,0.0481,0.0822,0.0133,0.0001,0.0,0.0,0.0162,0.0149,0
0.0742,0.1324,0.1413,0.2595,0.2604,0.4216,0.3358,0.3121,0.0845,0.2381,0.0232,0.0238,0.058,0.0611,0.0729,0.0,0.0435,0.0142,0.0137,0.0479,0.0823,0.0135,0.0,0.0,0.0,0.0161,0.0149,0
0.0737,0.1325,0.1415,0.2561,0.2579,0.4142,0.336,0.3145,0.0838,0.238,0.0236,0.024,0.0579,0.0641,0.0775,0.0,0.0434,0.014,0.0135,0.0476,0.0822,0.0138,0.0,0.0,0.0,0.0162,0.0149,0
0.0728,0.1328,0.1418,0.2536,0.2554,0.4124,0.3353,0.3145,0.0822,0.238,0.024,0.0242,0.0577,0.0652,0.0791,0.0,0.0434,0.0138,0.0133,0.0473,0.0819,0.0139,0.0,0.0,0.0,0.0162,0.0149,0
0.0721,0.1326,0.1418,0.2519,0.2539,0.4117,0.335,0.3144,0.0814,0.238,0.0243,0.0244,0.0575,0.0662,0.0802,0.0,0.0435,0.0136,0.0131,0.0468,0.0817,0.0142,0.0,0.0,0.0,0.0162,0.0149,0
0.0715,0.1324,0.1416,0.2489,0.2515,0.4115,0.3349,0.3143,0.0807,0.2381,0.0247,0.0246,0.0573,0.0684,0.0818,0.0,0.0437,0.0135,0.0129,0.0465,0.0815,0.0146,0.0,0.0,0.0,0.0163,0.015,0
0.071,0.132,0.1413,0.2476,0.2504,0.4113,0.3359,0.3159,0.0802,0.2383,0.025,0.0248,0.0572,0.0704,0.0836,0.0,0.0438,0.0134,0.0128,0.0464,0.0812,0.0149,0.0,0.0,0.0,0.0164,0.0151,0
