jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.004251203,0.02436242,0.0320826,0.07019661,0.07245544,0.05706507,-3.307188e-05,0.0238629,0.001710485,0.04938333,0.0769427,0.08077745,0.01004378,0.2106983,0.1288921,0.0447938,0.0,0.07721379,0.09148767,0.03285851,0.01764994,6.80457e-07,0.008996423,4.121647e-05,0.05359568,0.03009896,0.0291461,0,
0.004261531,0.02438506,0.0321284,0.07047313,0.07264069,0.05702012,-3.043631e-05,0.0232133,0.001705495,0.04955059,0.07742488,0.08139093,0.01005548,0.2115051,0.129956,0.04493735,0.0,0.07732473,0.09187181,0.03286588,0.01758167,6.262301e-07,0.009345912,3.793185e-05,0.05737627,0.03017577,0.02922469,0,
0.004262714,0.0243999,0.03216291,0.07051758,0.0726608,0.05690375,-2.801078e-05,0.02274135,0.001700907,0.04958856,0.0777717,0.08181769,0.0100588,0.2118597,0.1307396,0.04500271,0.0,0.0774598,0.09218901,0.03286036,0.01751446,5.763245e-07,0.00955982,3.490899e-05,0.05862177,0.03021996,0.02927575,0,
0.00426482,0.02441839,0.03220068,0.07059748,0.07268209,0.05672731,-2.577855e-05,0.02289016,0.00169728,0.0496108,0.07806002,0.08222406,0.01007249,0.2120535,0.1313567,0.04512195,0.0,0.07759737,0.09257774,0.03284831,0.01750657,5.303961e-07,0.009831838,3.212702e-05,0.05897691,0.03028389,0.02932777,0,
0.004261688,0.02442359,0.03222414,0.07064864,0.07268949,0.05661228,-2.37242e-05,0.02336671,0.001695856,0.04962443,0.07818539,0.08247012,0.01009201,0.2122661,0.1318117,0.04525392,0.0,0.07764031,0.09288784,0.03285851,0.01749562,4.881277e-07,0.01013571,2.956676e-05,0.05896784,0.0303329,0.02936194,0,
0.004258299,0.02440156,0.03220508,0.07065155,0.0726959,0.05656736,-2.183357e-05,0.02365201,0.0016937,0.04967849,0.07832973,0.08266197,0.01009221,0.2126504,0.1321179,0.04531031,0.0,0.07770169,0.09303749,0.03289848,0.01744963,4.492279e-07,0.0102988,2.721052e-05,0.05875306,0.03036243,0.02941125,0,
0.004261734,0.02441663,0.03223016,0.0706456,0.07271857,0.05650916,-2.009361e-05,0.02360622,0.001692345,0.04969761,0.07841245,0.08277287,0.01008778,0.2127484,0.1322796,0.04528104,0.0,0.07777061,0.09316693,0.0328401,0.01742572,4.13428e-07,0.01033605,2.504206e-05,0.05865579,0.03037396,0.02943988,0,
0.00425877,0.02442364,0.03224816,0.07057474,0.07268818,0.05650995,-1.849232e-05,0.02388365,0.001691324,0.04971741,0.07843442,0.08281671,0.01009352,0.212763,0.1323943,0.04527821,0.0,0.07780593,0.09325232,0.03282325,0.01741528,3.804811e-07,0.0103734,2.304641e-05,0.05818312,0.03036043,0.02944558,0,
0.004261077,0.02446267,0.03231628,0.07051194,0.07263263,0.05645352,-1.701863e-05,0.02387829,0.001688573,0.04963537,0.07842294,0.08290917,0.01007935,0.2124499,0.1324815,0.04525696,0.0,0.07772782,0.09335253,0.03271944,0.01740346,3.501598e-07,0.01057377,2.12098e-05,0.05846222,0.03031976,0.02941997,0,
0.004280279,0.02457239,0.03246422,0.07065382,0.07274572,0.056365,-1.566238e-05,0.02343291,0.001690599,0.0496424,0.0784856,0.08307301,0.0100948,0.2118768,0.1326837,0.04524631,0.0,0.07761917,0.09337118,0.03261643,0.01739608,3.222549e-07,0.0107672,1.951955e-05,0.05922323,0.03028146,0.02937747,0,
0.004286315,0.02462681,0.03253909,0.070669,0.07281286,0.05626625,-1.441421e-05,0.02347246,0.001691496,0.04961446,0.07852317,0.08318674,0.01011535,0.2117615,0.1328772,0.04520023,0.0,0.07759643,0.09342749,0.03256711,0.01738986,2.965738e-07,0.01088833,1.7964e-05,0.05941885,0.03026798,0.02938024,0,
